,repo,lang,metric,overall_mean,overall_median,comment_mean,comment_median,non_comment_mean,non_comment_median,cliffs_delta,mannwhitneyu_p,n_comment,n_non_comment,n_total
132,kafka,java,mccabe,2.2155273102026793,2.0,2.760142082632268,2.0,1.8990875515967847,1.0,0.2671071078803776,3.2210244304923885e-178,5349,9206,14555
133,kafka,java,fanout,6.690346959807626,4.0,8.9970087866891,6.0,5.350097762328916,3.0,0.257007538996388,6.868273250719141e-149,5349,9206,14555
134,kafka,java,chars,503.5726554448643,311.0,688.8713778276314,454.0,395.9077775363893,264.0,0.2874109917260346,2.466846617780882e-184,5349,9206,14555
135,kafka,java,identifiers,25.765991068361387,17.0,34.78855860908581,24.0,20.523571583749728,14.0,0.2920770862898513,1.9919684073535337e-190,5349,9206,14555
136,kafka,java,halstead,134.85293312725452,70.30835464468075,193.15304132069315,112.58797503894243,100.97858175568126,57.3594000115385,0.2736583881524104,2.5870580683436527e-167,5349,9206,14555
137,kafka,java,entropy,4.166751493916489,4.231687083026441,4.316466418208099,4.473046576212928,4.079762016397934,4.116443105545127,0.32310316692597313,2.081048093901127e-232,5349,9206,14555
138,keras,py,mccabe,2.977923338185347,2.0,4.557101024890191,3.0,2.195210449927431,2.0,0.4951754404605312,1.7461143638807365e-158,1366,2756,4122
139,keras,py,fanout,6.754730713245997,4.0,10.653733528550513,8.0,4.822206095791001,3.0,0.4775254097542006,4.537790014184811e-139,1366,2756,4122
140,keras,py,chars,600.4927219796216,358.0,942.4626647144948,663.5,430.9967343976778,262.0,0.48432224009588026,9.310917527551185e-142,1366,2756,4122
141,keras,py,identifiers,36.83818534691897,24.0,56.699121522694,42.0,26.994194484760524,19.0,0.4738706657854977,7.578902511753376e-136,1366,2756,4122
142,keras,py,halstead,176.30051667878752,87.56916320732489,301.72186975890804,200.33721141933918,114.13594182122415,69.7604899926346,0.5066706581354776,5.824998270685735e-155,1366,2756,4122
143,keras,py,entropy,4.2397145846732265,4.265144646130494,4.699958149574064,4.719733677152899,4.011596765495234,4.069896310477593,0.6051317290957888,3.822507456837021e-220,1366,2756,4122
144,localstack,py,mccabe,2.0368052999631945,1.0,3.4955669622025196,3.0,1.5164780292942743,1.0,0.5937257090095458,0.0,2143,6008,8151
145,localstack,py,fanout,3.517850570482149,2.0,7.492767148856743,6.0,2.1000332889480693,0.0,0.6767699840871683,0.0,2143,6008,8151
146,localstack,py,chars,386.9780395043553,246.0,677.2281847876808,494.0,283.4484021304927,200.0,0.5325544320125662,2.389181196542805e-294,2143,6008,8151
147,localstack,py,identifiers,58.95914611704085,23.0,124.51796546896874,75.0,35.57490013315579,16.0,0.6300096527075736,0.0,2143,6008,8151
148,localstack,py,halstead,83.63627623075702,31.69925001442312,191.4591130457907,129.26767504471167,45.17683227359703,11.60964047443681,0.7067246005170894,0.0,2143,6008,8151
149,localstack,py,entropy,3.1547883467088425,3.8222941505818517,4.59857187027991,4.64441382957761,2.6398036444763533,3.169925001442312,0.7490132149201594,0.0,2143,6008,8151
150,n8n,ts,mccabe,3.2879045996592846,2.0,4.98557518932564,3.0,2.3188554960889256,2.0,0.32247854947809534,1.3275890842899027e-132,2773,4858,7631
151,n8n,ts,fanout,6.525881273751802,3.0,10.2084385142445,5.0,4.42383696994648,3.0,0.3378597684517988,3.644146174773835e-135,2773,4858,7631
152,n8n,ts,chars,770.4853885467173,423.0,1210.7421565091959,604.0,519.1819678880198,332.0,0.3876632979577075,4.432796110863198e-175,2773,4858,7631
153,n8n,ts,identifiers,42.05399030271262,24.0,66.03425892535161,35.0,28.365788390284067,19.0,0.404451737680453,1.8802397759690385e-190,2773,4858,7631
154,n8n,ts,halstead,360.59614680996634,151.26748332105768,619.18179166102,248.0,212.99260766382145,109.39293667703852,0.41954270855958703,1.0475184154292413e-204,2773,4858,7631
